id,rain,visibility,main,sys,weather,cod,wind,base,clouds,coord,name,dt,snow
2122850,,,"{'temp': -15.13, 'pressure': 1006.01, 'humidity': 59, 'temp_min': -15.13, 'temp_max': -15.13, 'sea_level': 1006.01, 'grnd_level': 996.39}","{'message': 0.0034, 'country': 'RU', 'sunrise': 1551130279, 'sunset': 1551168574}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",200,"{'speed': 4.16, 'deg': 249.503}",stations,{'all': 20},"{'lon': 140.72, 'lat': 53.14}",Nikolayevsk-na-amure,1551199984,
3359638,,10000,"{'temp': 22.8, 'pressure': 1009, 'humidity': 57, 'temp_min': 21.67, 'temp_max': 25}","{'type': 1, 'id': 2288, 'message': 0.0031, 'country': 'NA', 'sunrise': 1551156990, 'sunset': 1551202360}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",200,"{'speed': 7.2, 'deg': 250}",stations,{'all': 0},"{'lon': 14.51, 'lat': -22.95}",Walvis Bay,1551196939,
1244926,{'3h': 2.435},,"{'temp': 25.53, 'pressure': 1010.97, 'humidity': 100, 'temp_min': 25.53, 'temp_max': 25.53, 'sea_level': 1010.97, 'grnd_level': 1008.31}","{'message': 0.0036, 'country': 'LK', 'sunrise': 1551142124, 'sunset': 1551185283}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",200,"{'speed': 2.46, 'deg': 339.503}",stations,{'all': 64},"{'lon': 81.12, 'lat': 6.12}",Hambantota,1551199985,
2173911,,10000,"{'temp': 25, 'pressure': 1017, 'humidity': 23, 'temp_min': 25, 'temp_max': 25}","{'type': 1, 'id': 9491, 'message': 0.0036, 'country': 'AU', 'sunrise': 1551126071, 'sunset': 1551172345}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]",200,"{'speed': 4.1, 'deg': 70}",stations,{'all': 8},"{'lon': 141.45, 'lat': -31.97}",Broken Hill,1551196800,
3374083,,10000,"{'temp': 29, 'pressure': 1017, 'humidity': 62, 'temp_min': 29, 'temp_max': 29}","{'type': 1, 'id': 8772, 'message': 0.0041, 'country': 'BB', 'sunrise': 1551176128, 'sunset': 1551218784}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",200,"{'speed': 9.3, 'deg': 100}",stations,{'all': 40},"{'lon': -59.52, 'lat': 13.22}",Bathsheba,1551196800,
1253628,{'3h': 0.355},,"{'temp': -1.55, 'pressure': 1013.61, 'humidity': 97, 'temp_min': -1.55, 'temp_max': -1.55, 'sea_level': 1013.61, 'grnd_level': 768.55}","{'message': 0.0033, 'country': 'IN', 'sunrise': 1551143712, 'sunset': 1551184917}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",200,"{'speed': 0.79, 'deg': 52.5029}",stations,{'all': 80},"{'lon': 78.62, 'lat': 30.78}",Lata,1551199985,
2180991,,,"{'temp': 10.93, 'pressure': 1020.21, 'humidity': 76, 'temp_min': 10.93, 'temp_max': 10.93, 'sea_level': 1020.21, 'grnd_level': 999.99}","{'message': 0.0038, 'country': 'NZ', 'sunrise': 1551116845, 'sunset': 1551163876}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",200,"{'speed': 2.29, 'deg': 351.503}",stations,{'all': 0},"{'lon': 178.3, 'lat': -38.37}",Tolaga Bay,1551199986,
1106677,,10000,"{'temp': 28.63, 'pressure': 1014, 'humidity': 79, 'temp_min': 28.33, 'temp_max': 29}","{'type': 1, 'id': 2061, 'message': 0.0073, 'country': 'MU', 'sunrise': 1551146721, 'sunset': 1551191875}","[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}]",200,"{'speed': 7.7, 'deg': 70}",stations,{'all': 75},"{'lon': 57.76, 'lat': -20.34}",Bambous Virieux,1551199442,
1498161,,,"{'temp': -17.57, 'pressure': 1008.89, 'humidity': 63, 'temp_min': -17.57, 'temp_max': -17.57, 'sea_level': 1008.89, 'grnd_level': 1003.43}","{'message': 0.0032, 'country': 'RU', 'sunrise': 1551150160, 'sunset': 1551185208}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]",200,"{'speed': 3.94, 'deg': 359.503}",stations,{'all': 8},"{'lon': 64.7, 'lat': 65.4}",Muzhi,1551199986,
934322,,10000,"{'temp': 28.63, 'pressure': 1014, 'humidity': 79, 'temp_min': 28.33, 'temp_max': 29}","{'type': 1, 'id': 2061, 'message': 0.0045, 'country': 'MU', 'sunrise': 1551146732, 'sunset': 1551191892}","[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}]",200,"{'speed': 7.7, 'deg': 70}",stations,{'all': 75},"{'lon': 57.7, 'lat': -20.41}",Mahebourg,1551199741,
